;;;;;;;;;test_accuracy;test_accuracy;test_macro_f1;test_macro_f1;train_accuracy;train_accuracy;train_macro_f1;train_macro_f1
;;;;;;;;;mean;std;mean;std;mean;std;mean;std
dataset_name;sampler_name;budget;label_propagation_uncertainty_treshold;embedding_dim;hidden_dim_size;dropout;distance_loss_weight;learning_rate;;;;;;;;
Cora;model;77;0.2;16;128;0.5;1;0.003;0.768298653610771;0.0251111964909006;0.744924370006249;0.0285171092221638;0.896103896103896;0.0424154068014403;0.89194584524128;0.0421551308913655
Cora;model;84;0.2;16;128;0.5;1;0.003;0.775397796817625;0.0344811556755623;0.757596218715752;0.0305134712916836;0.886904761904762;0.0413346560634914;0.883878271327296;0.0429138781177429
Cora;model;91;0.2;16;128;0.5;1;0.003;0.777233782129743;0.0267665760373019;0.760348899372871;0.0246757501743995;0.878021978021978;0.0261334197534608;0.875351471902282;0.0302364051746173
Cora;model;98;0.2;16;128;0.5;1;0.003;0.779559363525092;0.0250474775484827;0.761983571720598;0.0229848155087479;0.875510204081633;0.0371978860258294;0.873592786300885;0.0407108945640104
Cora;model;105;0.2;16;128;0.5;1;0.003;0.786903304773562;0.0200330136631545;0.770059042492512;0.0219805816704976;0.862857142857143;0.04240205170048;0.857139567281867;0.0469203392533788
Cora;model;112;0.2;16;128;0.5;1;0.003;0.788739290085679;0.0196025342602893;0.77183709685777;0.0191518571354401;0.872321428571429;0.0291757760313154;0.864380478333835;0.0317160495038414
Cora;model;119;0.2;16;128;0.5;1;0.003;0.785189718482252;0.020130825218358;0.768560093595089;0.0196718308653341;0.863865546218487;0.0246753115356249;0.862900937944125;0.0229632172946419
Cora;model;126;0.2;16;128;0.5;1;0.003;0.786903304773562;0.0234833933248266;0.770923636436653;0.0233186110933502;0.865873015873016;0.0422370052756164;0.864609705762448;0.0430569339752508
Cora;model;133;0.2;16;128;0.5;1;0.003;0.794247246022032;0.0189219895600347;0.780423760119734;0.0198379548601835;0.86015037593985;0.037543826187617;0.856513197236731;0.0398316686748274
Cora;model;140;0.2;16;128;0.5;1;0.003;0.788494492044064;0.024478444134667;0.773440687136427;0.0235921053261612;0.85;0.0412393049421161;0.846990566479112;0.0417721775418834
Cora;model;7;0.4;16;128;0.5;1;0.003;0.322399020807834;0.105040263221221;0.253698150542196;0.103932788457194;0.928571428571429;0.0752923252421043;0.88;0.133499518505383
Cora;model;14;0.4;16;128;0.5;1;0.003;0.425826193390453;0.125926921915651;0.373324370920707;0.141530591702404;0.814285714285714;0.122335548368239;0.759512471655329;0.127056776995789
Cora;model;21;0.4;16;128;0.5;1;0.003;0.49718482252142;0.130719250842964;0.445246155858807;0.135731842175481;0.823809523809524;0.0953702786399987;0.798496596773908;0.105262603407465
Cora;model;28;0.4;16;128;0.5;1;0.003;0.551652386780906;0.0811330003202079;0.50780834398777;0.101315636334847;0.885714285714286;0.0368855556781659;0.839367916544608;0.116873464968199
Cora;model;35;0.4;16;128;0.5;1;0.003;0.60905752753978;0.0926398793970214;0.561627847705348;0.111491147615643;0.908571428571429;0.0442626668137991;0.90014403918027;0.0837002026319015
